Subject,Item,VerbType,Position,RT,NPPredictability
Subj3,Item22,NonPrefV,Verb,617.32 ,0.05 
Subj3,Item22,NonPrefV,NP,542.00 ,0.05 
Subj3,Item22,NonPrefV,NP_1,454.02 ,0.05 
Subj3,Item22,NonPrefV,NP_2,449.34 ,0.05 
Subj3,Item23,AspV,Verb,498.94 ,0.45 
Subj3,Item23,AspV,NP,524.25 ,0.45 
Subj3,Item23,AspV,NP_1,452.94 ,0.45 
Subj3,Item23,AspV,NP_2,496.31 ,0.45 
Subj3,Item24,PrefV,Verb,496.77 ,0.05 
Subj3,Item24,PrefV,NP,490.13 ,0.05 
Subj3,Item24,PrefV,NP_1,404.16 ,0.05 
Subj3,Item24,PrefV,NP_2,369.51 ,0.05 
Subj3,Item25,NonPrefV,Verb,607.13 ,0.05 
Subj3,Item25,NonPrefV,NP,932.44 ,0.05 
Subj3,Item25,NonPrefV,NP_1,509.18 ,0.05 
Subj3,Item25,NonPrefV,NP_2,422.54 ,0.05 
Subj3,Item26,AspV,Verb,564.50 ,0.10 
Subj3,Item26,AspV,NP,539.18 ,0.10 
Subj3,Item26,AspV,NP_1,451.18 ,0.10 
Subj3,Item26,AspV,NP_2,542.54 ,0.10 
Subj3,Item27,PrefV,Verb,457.83 ,0.05 
Subj3,Item27,PrefV,NP,421.19 ,0.05 
Subj3,Item27,PrefV,NP_1,433.83 ,0.05 
Subj3,Item27,PrefV,NP_2,430.20 ,0.05 
Subj3,Item28,NonPrefV,Verb,838.39 ,0.10 
Subj3,Item28,NonPrefV,NP,466.38 ,0.10 
Subj3,Item28,NonPrefV,NP_1,749.64 ,0.10 
Subj3,Item28,NonPrefV,NP_2,477.10 ,0.10 
Subj3,Item29,AspV,Verb,457.93 ,0.05 
Subj3,Item29,AspV,NP,1029.22 ,0.05 
Subj3,Item29,AspV,NP_1,569.97 ,0.05 
Subj3,Item29,AspV,NP_2,480.53 ,0.05 
Subj3,Item30,PrefV,Verb,563.00 ,0.65 
Subj3,Item30,PrefV,NP,634.43 ,0.65 
Subj3,Item30,PrefV,NP_1,542.42 ,0.65 
Subj3,Item30,PrefV,NP_2,454.43 ,0.65 
Subj3,Item31,NonPrefV,Verb,1034.76 ,0.05 
Subj3,Item31,NonPrefV,NP,462.76 ,0.05 
Subj3,Item31,NonPrefV,NP_1,506.11 ,0.05 
Subj3,Item31,NonPrefV,NP_2,467.44 ,0.05 
Subj3,Item32,AspV,Verb,582.33 ,0.00 
Subj3,Item32,AspV,NP,1164.34 ,0.00 
Subj3,Item32,AspV,NP_1,427.71 ,0.00 
Subj3,Item32,AspV,NP_2,408.35 ,0.00 
Subj4,Item1,AspV,Verb,331.23 ,0.00 
Subj4,Item1,AspV,NP,651.30 ,0.00 
Subj4,Item1,AspV,NP_1,350.63 ,0.00 
Subj4,Item1,AspV,NP_2,333.99 ,0.00 
Subj4,Item2,PrefV,Verb,430.30 ,0.30 
Subj4,Item2,PrefV,NP,490.34 ,0.30 
Subj4,Item2,PrefV,NP_1,532.34 ,0.30 
Subj4,Item2,PrefV,NP_2,285.00 ,0.30 
Subj4,Item3,NonPrefV,Verb,128.44 ,0.00 
Subj4,Item3,NonPrefV,NP,169.13 ,0.00 
Subj4,Item3,NonPrefV,NP_1,207.84 ,0.00 
Subj4,Item3,NonPrefV,NP_2,165.13 ,0.00 
Subj4,Item4,AspV,Verb,227.79 ,0.00 
Subj4,Item4,AspV,NP,168.45 ,0.00 
Subj4,Item4,AspV,NP_1,159.13 ,0.00 
Subj4,Item4,AspV,NP_2,214.52 ,0.00 
Subj4,Item5,PrefV,Verb,205.88 ,0.30 
